target,n_estimators,max_depth,learning_rate,average_mse,average_r2
LBL_ALLminpA_fut_001,10,1,0.1,4481.008427405877,0.5588416337441509
LBL_ALLminpA_fut_001,10,1,0.01,9317.777607654501,0.08970195555221712
LBL_ALLminpA_fut_001,10,1,0.001,10258.528427547171,-0.005380855816760044
LBL_ALLminpA_fut_001,10,2,0.1,3826.148927827892,0.6162260269868562
LBL_ALLminpA_fut_001,10,2,0.01,9184.01758275628,0.10022406107884563
LBL_ALLminpA_fut_001,10,2,0.001,10241.173195471018,-0.003895049176337495
LBL_ALLminpA_fut_001,10,3,0.1,3847.2736197823206,0.6062136954622284
LBL_ALLminpA_fut_001,10,3,0.01,9157.883450776546,0.10345795812844553
LBL_ALLminpA_fut_001,10,3,0.001,10240.291545100388,-0.0036417709737725846
LBL_ALLminpA_fut_001,10,5,0.1,3711.054857290509,0.6246600570961763
LBL_ALLminpA_fut_001,10,5,0.01,9143.143070328975,0.10566104877772246
LBL_ALLminpA_fut_001,10,5,0.001,10237.875192298665,-0.0033322940764366924
LBL_ALLminpA_fut_001,50,1,0.1,2294.9001873256966,0.7465686486863083
LBL_ALLminpA_fut_001,50,1,0.01,6536.1820472442905,0.3623768686602339
LBL_ALLminpA_fut_001,50,1,0.001,9827.402809260406,0.03830789696828278
LBL_ALLminpA_fut_001,50,2,0.1,2031.561790870767,0.769280012447416
LBL_ALLminpA_fut_001,50,2,0.01,5956.627478642313,0.4138220654340907
LBL_ALLminpA_fut_001,50,2,0.001,9749.534291400374,0.044755391449259926
LBL_ALLminpA_fut_001,50,3,0.1,2272.3669294589845,0.7306448276722476
LBL_ALLminpA_fut_001,50,3,0.01,5889.422152749875,0.4225764327394591
LBL_ALLminpA_fut_001,50,3,0.001,9739.169663460123,0.046208737767014174
LBL_ALLminpA_fut_001,50,5,0.1,2112.665942039528,0.7581213259016845
LBL_ALLminpA_fut_001,50,5,0.01,6023.57566899354,0.41499532015089785
LBL_ALLminpA_fut_001,50,5,0.001,9734.537107601038,0.04701897393916863
LBL_ALLminpA_fut_001,100,1,0.1,2151.9713994699373,0.7552929704107849
LBL_ALLminpA_fut_001,100,1,0.01,4549.66098400436,0.5520399329662738
LBL_ALLminpA_fut_001,100,1,0.001,9319.006196369006,0.0895603561371197
LBL_ALLminpA_fut_001,100,2,0.1,2028.1199041821117,0.7662948245244061
LBL_ALLminpA_fut_001,100,2,0.01,3988.0802016087837,0.6000850754024274
LBL_ALLminpA_fut_001,100,2,0.001,9187.913124010975,0.09988163405564605
LBL_ALLminpA_fut_001,100,3,0.1,2293.914089200528,0.726120152954316
LBL_ALLminpA_fut_001,100,3,0.01,3958.9642886479096,0.602877647039262
LBL_ALLminpA_fut_001,100,3,0.001,9160.868512198838,0.10328214051129651
LBL_ALLminpA_fut_001,100,5,0.1,2104.3529978047877,0.7578959499315786
LBL_ALLminpA_fut_001,100,5,0.01,3878.781649798185,0.6102616738085807
LBL_ALLminpA_fut_001,100,5,0.001,9143.017422834197,0.1056942587901554
LBL_ALLminpA_fut_001,500,1,0.1,2230.9073031767316,0.7405779700035072
LBL_ALLminpA_fut_001,500,1,0.01,2306.5910366471626,0.7451560044152278
LBL_ALLminpA_fut_001,500,1,0.001,6549.5161743322515,0.36103754273564126
LBL_ALLminpA_fut_001,500,2,0.1,2086.8405547130196,0.7603633202736406
LBL_ALLminpA_fut_001,500,2,0.01,2051.9188451392392,0.7679701235263247
LBL_ALLminpA_fut_001,500,2,0.001,5964.587511747871,0.4128484045941684
LBL_ALLminpA_fut_001,500,3,0.1,2321.966560249267,0.7223165348270424
LBL_ALLminpA_fut_001,500,3,0.01,2176.9802992415835,0.7458622738223695
LBL_ALLminpA_fut_001,500,3,0.001,5899.482733092296,0.42116512254468336
LBL_ALLminpA_fut_001,500,5,0.1,2103.145553254585,0.7578352150864103
LBL_ALLminpA_fut_001,500,5,0.01,2170.671661593452,0.7534125941041602
LBL_ALLminpA_fut_001,500,5,0.001,6034.712409385815,0.41374861350225645
LBL_ALLminpA_fut_001,1000,1,0.1,2258.174220840546,0.7363225918928882
LBL_ALLminpA_fut_001,1000,1,0.01,2189.93287091518,0.7511398004850156
LBL_ALLminpA_fut_001,1000,1,0.001,4563.816693150494,0.5505701100788319
LBL_ALLminpA_fut_001,1000,2,0.1,2098.4622982738133,0.7591006621648644
LBL_ALLminpA_fut_001,1000,2,0.01,2063.687914028139,0.7639059906196415
LBL_ALLminpA_fut_001,1000,2,0.001,4000.2250476928466,0.5989100431627826
LBL_ALLminpA_fut_001,1000,3,0.1,2323.0211180033143,0.7221961264800872
LBL_ALLminpA_fut_001,1000,3,0.01,2189.9768531131704,0.7429892533918429
LBL_ALLminpA_fut_001,1000,3,0.001,3973.349694078565,0.6016283156127771
LBL_ALLminpA_fut_001,1000,5,0.1,2103.142961709187,0.7578354281996305
LBL_ALLminpA_fut_001,1000,5,0.01,2159.9929639080974,0.7532199718124358
LBL_ALLminpA_fut_001,1000,5,0.001,3874.481596280379,0.6108919202752248
LBL_ALLminpA_fut_001,3000,1,0.1,2366.0031877725314,0.7242735351315875
LBL_ALLminpA_fut_001,3000,1,0.01,2228.186382064689,0.7420374712076678
LBL_ALLminpA_fut_001,3000,1,0.001,2713.737414680847,0.7105586038566363
LBL_ALLminpA_fut_001,3000,2,0.1,2100.8896971912923,0.7589071513636132
LBL_ALLminpA_fut_001,3000,2,0.01,2094.490851070992,0.760111260582758
LBL_ALLminpA_fut_001,3000,2,0.001,2187.1445612483294,0.7594163663358499
LBL_ALLminpA_fut_001,3000,3,0.1,2323.0100968573884,0.7221976248512141
LBL_ALLminpA_fut_001,3000,3,0.01,2222.230102483024,0.7390032389254919
LBL_ALLminpA_fut_001,3000,3,0.001,2261.8929998833423,0.7438290796239423
LBL_ALLminpA_fut_001,3000,5,0.1,2103.142961709187,0.7578354281996305
LBL_ALLminpA_fut_001,3000,5,0.01,2159.3046861074126,0.7531680497531728
LBL_ALLminpA_fut_001,3000,5,0.001,2329.1517983276403,0.7428005926371418
LBL_ALLminp0_fut_001,10,1,0.1,23260.290629991396,0.6295985629328159
LBL_ALLminp0_fut_001,10,1,0.01,55351.01968923995,0.1164001825644337
LBL_ALLminp0_fut_001,10,1,0.001,61990.37183742508,0.008422877882265834
LBL_ALLminp0_fut_001,10,2,0.1,19177.90854052625,0.6910985682461627
LBL_ALLminp0_fut_001,10,2,0.01,54408.070723706056,0.12960086568581503
LBL_ALLminp0_fut_001,10,2,0.001,61884.65297119824,0.009939850950420959
LBL_ALLminp0_fut_001,10,3,0.1,18407.014141462452,0.7039790805483267
LBL_ALLminp0_fut_001,10,3,0.01,53562.807835112115,0.14270286191397485
LBL_ALLminp0_fut_001,10,3,0.001,61803.029649244854,0.011188596607211786
LBL_ALLminp0_fut_001,10,5,0.1,18445.201793036736,0.7019802822190526
LBL_ALLminp0_fut_001,10,5,0.01,53662.44001708337,0.14068363719550073
LBL_ALLminp0_fut_001,10,5,0.001,61798.63927570738,0.011172126712298391
LBL_ALLminp0_fut_001,50,1,0.1,10877.875925551625,0.8222488811043902
LBL_ALLminp0_fut_001,50,1,0.01,35699.015685006,0.4336442930533339
LBL_ALLminp0_fut_001,50,1,0.001,58910.8603955506,0.05853858028274439
LBL_ALLminp0_fut_001,50,2,0.1,10291.471523688819,0.8292163213558276
LBL_ALLminp0_fut_001,50,2,0.01,32264.507105753273,0.48290435592249714
LBL_ALLminp0_fut_001,50,2,0.001,58418.95591885098,0.0653289145358241
LBL_ALLminp0_fut_001,50,3,0.1,11210.331471345471,0.8173767511268892
LBL_ALLminp0_fut_001,50,3,0.01,30787.188423405627,0.5035535071860219
LBL_ALLminp0_fut_001,50,3,0.001,57980.30530707251,0.0722430672328211
LBL_ALLminp0_fut_001,50,5,0.1,11294.864188167932,0.8153616490419884
LBL_ALLminp0_fut_001,50,5,0.01,31080.87727555585,0.4997044924148293
LBL_ALLminp0_fut_001,50,5,0.001,58014.64031375405,0.07139130960204483
LBL_ALLminp0_fut_001,100,1,0.1,10419.428419109216,0.828308712778895
LBL_ALLminp0_fut_001,100,1,0.01,23898.35403360413,0.6203405441525921
LBL_ALLminp0_fut_001,100,1,0.001,55388.38849035207,0.11582098173418694
LBL_ALLminp0_fut_001,100,2,0.1,10130.176654596851,0.8316364106569812
LBL_ALLminp0_fut_001,100,2,0.01,19727.57870277558,0.6824346413484517
LBL_ALLminp0_fut_001,100,2,0.001,54452.696314689274,0.12882570481950434
LBL_ALLminp0_fut_001,100,3,0.1,10974.44987690571,0.8216007388023974
LBL_ALLminp0_fut_001,100,3,0.01,18759.075898283274,0.6965937671773854
LBL_ALLminp0_fut_001,100,3,0.001,53596.642426309445,0.14216623157371996
LBL_ALLminp0_fut_001,100,5,0.1,11233.640993681296,0.8164167152755846
LBL_ALLminp0_fut_001,100,5,0.01,18837.625914327677,0.6934918408177407
LBL_ALLminp0_fut_001,100,5,0.001,53701.13257444163,0.14006639896460665
LBL_ALLminp0_fut_001,500,1,0.1,10056.579738463191,0.8318105604942831
LBL_ALLminp0_fut_001,500,1,0.01,10909.180898582159,0.8215570373203613
LBL_ALLminp0_fut_001,500,1,0.001,35753.45245273707,0.4327507027657755
LBL_ALLminp0_fut_001,500,2,0.1,10222.80744946732,0.8307730138571865
LBL_ALLminp0_fut_001,500,2,0.01,10522.771128711027,0.8261754309343271
LBL_ALLminp0_fut_001,500,2,0.001,32352.553107118845,0.48149542772740983
LBL_ALLminp0_fut_001,500,3,0.1,10967.11574653573,0.8217439733407218
LBL_ALLminp0_fut_001,500,3,0.01,10669.379988090379,0.8257913588792387
LBL_ALLminp0_fut_001,500,3,0.001,30890.561627573752,0.5018291369908268
LBL_ALLminp0_fut_001,500,5,0.1,11209.789497427502,0.8168459641331692
LBL_ALLminp0_fut_001,500,5,0.01,11143.84701867123,0.8156055494866246
LBL_ALLminp0_fut_001,500,5,0.001,31194.190099567448,0.4979057886397212
LBL_ALLminp0_fut_001,1000,1,0.1,10295.80827945301,0.8271072975316327
LBL_ALLminp0_fut_001,1000,1,0.01,10331.935249253773,0.8294950587284069
LBL_ALLminp0_fut_001,1000,1,0.001,23944.707975654317,0.6195769994133363
LBL_ALLminp0_fut_001,1000,2,0.1,10192.784171010233,0.8311035526153681
LBL_ALLminp0_fut_001,1000,2,0.01,10212.389311276605,0.8304820251983782
LBL_ALLminp0_fut_001,1000,2,0.001,19816.144621587613,0.6809033730804809
LBL_ALLminp0_fut_001,1000,3,0.1,10957.738068914707,0.8218938754957245
LBL_ALLminp0_fut_001,1000,3,0.01,10527.092666025836,0.8283031991301832
LBL_ALLminp0_fut_001,1000,3,0.001,18787.830756684365,0.6960607650787531
LBL_ALLminp0_fut_001,1000,5,0.1,11209.770385281929,0.8168463103638404
LBL_ALLminp0_fut_001,1000,5,0.01,11115.516857649513,0.8159820574474523
LBL_ALLminp0_fut_001,1000,5,0.001,18929.226102256678,0.6920297778327035
LBL_ALLminp0_fut_001,3000,1,0.1,10650.63308395452,0.8202605014687503
LBL_ALLminp0_fut_001,3000,1,0.01,10048.483089547943,0.832371794625381
LBL_ALLminp0_fut_001,3000,1,0.001,12482.360416662665,0.7979619681477799
LBL_ALLminp0_fut_001,3000,2,0.1,10196.696897592328,0.8310261513957169
LBL_ALLminp0_fut_001,3000,2,0.01,10288.854322454135,0.8299739517827606
LBL_ALLminp0_fut_001,3000,2,0.001,11024.8821360732,0.8194957822215352
LBL_ALLminp0_fut_001,3000,3,0.1,10957.080470394289,0.8219029588043579
LBL_ALLminp0_fut_001,3000,3,0.01,10506.375608927705,0.8289166130936927
LBL_ALLminp0_fut_001,3000,3,0.001,11078.125312186216,0.8199189743167186
LBL_ALLminp0_fut_001,3000,5,0.1,11209.770385281929,0.8168463103638404
LBL_ALLminp0_fut_001,3000,5,0.01,11081.48241583055,0.8165583152542772
LBL_ALLminp0_fut_001,3000,5,0.001,11400.24980827287,0.8115741092403613
LBL_aDLminpA_fut_001,10,1,0.1,13744.720381483325,0.5865920013646047
LBL_aDLminpA_fut_001,10,1,0.01,30083.814420829287,0.10059709319476426
LBL_aDLminpA_fut_001,10,1,0.001,33574.23684018126,-0.004177362732378165
LBL_aDLminpA_fut_001,10,2,0.1,11349.113669372824,0.6562299559691592
LBL_aDLminpA_fut_001,10,2,0.01,29636.66854874939,0.11340160288913911
LBL_aDLminpA_fut_001,10,2,0.001,33531.48519754346,-0.0029487931898969587
LBL_aDLminpA_fut_001,10,3,0.1,10966.505786264945,0.6671402733928854
LBL_aDLminpA_fut_001,10,3,0.01,29483.686325495026,0.11792444111160354
LBL_aDLminpA_fut_001,10,3,0.001,33514.08155914394,-0.002430398371865361
LBL_aDLminpA_fut_001,10,5,0.1,11119.95487814357,0.6617913768897927
LBL_aDLminpA_fut_001,10,5,0.01,29413.005463561094,0.11949535620174015
LBL_aDLminpA_fut_001,10,5,0.001,33492.89645714872,-0.0018296261464888052
LBL_aDLminpA_fut_001,50,1,0.1,6493.045411811661,0.796502913039452
LBL_aDLminpA_fut_001,50,1,0.01,20159.72912759299,0.39666261368363537
LBL_aDLminpA_fut_001,50,1,0.001,31952.955258862312,0.044516625826005976
